Proveedor,Texto breve material,CATEGORIA,CEDIS MOTOS,SUCURSAL,Centro,Almacén,IMEI/SERIE,Suma de Libre utilización,Suma de Valor libre util.,Suma de Bloqueado,Suma de Valor stock bloq.,Suma de Inspecc.de calidad,Suma de Valor en insp.cal.
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, ROJO",STREET,CEDIS TAB PXGL,MACROPAY VERACRUZ CD ISLA RAUL SANDOVAL,1760,10,MD2C19BX6TWH52129,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC, CITRUS",STREET,CEDIS CDMX,MACROPAY CDMX PLAZA TLATELOLCO L N1 18,1720,10,MD2C19BX2TWH50703,1,$32927.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC, CITRUS",STREET,CEDIS CDMX,MACROPAY TOLUCA HIDALGO MOTOS,1747,10,MD2C19BX7TWH50700,1,$32927.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC, CITRUS",STREET,CEDIS CDMX,MACROPAY VERACRUZ AV MATAMOROS NORTE,1721,10,MD2C19BX9TWH50701,1,$32927.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC, CITRUS",STREET,CEDIS TAB PXGL,MACROPAY CD DEL CARMEN CALLE 22 MOTOS,1811,10,MD2C19BX4TWH50704,1,$32927.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC, CITRUS",STREET,CEDIS TAB PXGL,MACROPAY COATZACOALCOS JUAREZ MOTOS,1796,10,MD2C19BX6TWH50705,1,$32927.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC, PURPURA",STREET,CEDIS CDMX,MACROPAY NEZA CHEDRAUI ESTADIO,1458,10,MD2C19BX5TWL71031,1,$32927.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC, PURPURA",STREET,CEDIS CDMX,MACROPAY PUE REFORMA,1245,10,MD2C19BX0TWL71034,1,$32927.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC, PURPURA",STREET,CEDIS GDL,MACROPAY GDL MOTOS PASEO ALCALDE,1919,10,MD2C19BX3TWK67444,1,$32927.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC, PURPURA",STREET,CEDIS SAN LUIS,MACROPAY IRAPUATO FRAGARIA LB05,1530,10,MD2C19BXXTWK67828,1,$32927.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC, ROJO",STREET,CEDIS CULIACAN,MACROPAY GUAYMAS CENTRO 112,1882,10,MD2C19BX3TWK66004,1,$32927.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC, ROJO",STREET,CEDIS CULIACAN,MACROPAY LOS MOCHIS CENTRO,1852,10,MD2C19BX5TWK66005,1,$32927.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC, ROJO",STREET,CEDIS GDL,MACROPAY ZAPOPAN AV HIDALGO,1508,10,MD2C19BX7TWK66006,1,$32927.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC, ROJO",STREET,CEDIS SALTILLO,MACROPAY TORREON CENTRO HIDALGO,1941,10,MD2C19BXXTWK66002,1,$32927.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 160CC, AZUL",STREET,CEDIS CDMX,MACROPAY APIZACO PLAZA  L34,1545,10,MD2B54DX1TCL87342,1,$35615.33,0,$0,0,0
